listing_id,town,block,flat_type,price,size_sqm,floor_range,lease_remaining,postal,full_address,lat,lng
1,Ang Mo Kio,439,5I,880000,119,high,51,560439,439 ANG MO KIO AVENUE 10 SINGAPORE 560439,1.366291978648039,103.8534963088295
2,Ang Mo Kio,588D,4PA,1280000,91,high,84,564588,588D ANG MO KIO STREET 52 PARK CENTRAL @ AMK SINGAPORE 564588,1.371754006630262,103.8538833086998
3,Ang Mo Kio,643,3NG,450000,75,middle,53,560643,643 ANG MO KIO AVENUE 5 ANG MO KIO 61 SINGAPORE 560643,1.377506269291091,103.8405571823058
4,Ang Mo Kio,308B,3A,730000,70,high,84,562308,308B ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 562308,1.365266142381512,103.8445380590439
5,Ang Mo Kio,333,3NG,438000,67,high,53,569965,333 ANG MO KIO AVENUE 2 HORIZON GARDENS SINGAPORE 569965,1.376614615194338,103.8342230142328
6,Bedok,32,5A,799999,118,high,50,469841,32 BEDOK GARDEN SINGAPORE 469841,1.322754774977092,103.9519239810051
7,Bedok,124,4S,598000,84,middle,59,460124,124 BEDOK NORTH ROAD SINGAPORE 460124,1.329258819445753,103.9390464303205
8,Bedok,423,3NG,475000,81,high,51,460423,423 BEDOK NORTH AVENUE 1 GARDEN HILL SINGAPORE 460423,1.327976141185119,103.9275651107631
9,Bedok,146,4S,568888,84,middle,59,470146,146 BEDOK RESERVOIR ROAD EUNOS SPRING SINGAPORE 470146,1.334599691199219,103.9120107520267
10,Bedok,96,5S,729888,123,high,51,460096,96 BEDOK NORTH AVENUE 4 SINGAPORE 460096,1.333264781235702,103.9403348686971
11,Bukit Batok,463B,4A,688888,93,high,94,652463,463B BUKIT BATOK STREET 41 WEST PLAINS @ BUKIT BATOK SINGAPORE 652463,1.357049367739586,103.7423079514875
12,Bukit Batok,451A,3A,530000,67,high,91,651451,451A BUKIT BATOK WEST AVENUE 6 WEST TERRA @ BUKIT BATOK SINGAPORE 651451,1.353048993822543,103.7429325627863
13,Bukit Batok,337,4S,498000,84,middle,58,650337,337 BUKIT BATOK STREET 34 SINGAPORE 650337,1.363482963817735,103.749393361059
14,Bukit Batok,467B,5I,860000,113,high,93,652467,467B BUKIT BATOK WEST AVENUE 9 WEST PLAINS @ BUKIT BATOK SINGAPORE 652467,1.35614011912777,103.7431637852842
